sub_0
Epoch: [129/1000], classify_loss: 0.8572, domain_loss_s: 0.6965, domain_loss_t: 0.7303, domain_loss: 1.4267,total_loss: 2.2840, acc_loss: 0.4778
Epoch: [130/1000], classify_loss: 0.8563, domain_loss_s: 0.6968, domain_loss_t: 0.7303, domain_loss: 1.4271,total_loss: 2.2835, acc_loss: 0.4781
Epoch: [131/1000], classify_loss: 0.8554, domain_loss_s: 0.6972, domain_loss_t: 0.7304, domain_loss: 1.4275,total_loss: 2.2830, acc_loss: 0.4790
Epoch: [132/1000], classify_loss: 0.8545, domain_loss_s: 0.6975, domain_loss_t: 0.7304, domain_loss: 1.4279,total_loss: 2.2825, acc_loss: 0.4798
Epoch: [133/1000], classify_loss: 0.8536, domain_loss_s: 0.6979, domain_loss_t: 0.7304, domain_loss: 1.4283,total_loss: 2.2820, acc_loss: 0.4801
Epoch: [134/1000], classify_loss: 0.8527, domain_loss_s: 0.6982, domain_loss_t: 0.7305, domain_loss: 1.4287,total_loss: 2.2815, acc_loss: 0.4807
Epoch: [135/1000], classify_loss: 0.8519, domain_loss_s: 0.6986, domain_loss_t: 0.7305, domain_loss: 1.4291,total_loss: 2.2810, acc_loss: 0.4810
Epoch: [136/1000], classify_loss: 0.8510, domain_loss_s: 0.6989, domain_loss_t: 0.7306, domain_loss: 1.4295,total_loss: 2.2805, acc_loss: 0.4813
Epoch: [137/1000], classify_loss: 0.8501, domain_loss_s: 0.6992, domain_loss_t: 0.7306, domain_loss: 1.4299,total_loss: 2.2800, acc_loss: 0.4822
Epoch: [138/1000], classify_loss: 0.8492, domain_loss_s: 0.6996, domain_loss_t: 0.7307, domain_loss: 1.4303,total_loss: 2.2795, acc_loss: 0.4831
Epoch: [139/1000], classify_loss: 0.8484, domain_loss_s: 0.6999, domain_loss_t: 0.7308, domain_loss: 1.4307,total_loss: 2.2790, acc_loss: 0.4831
Epoch: [140/1000], classify_loss: 0.8475, domain_loss_s: 0.7003, domain_loss_t: 0.7308, domain_loss: 1.4311,total_loss: 2.2786, acc_loss: 0.4831
Epoch: [141/1000], classify_loss: 0.8466, domain_loss_s: 0.7006, domain_loss_t: 0.7309, domain_loss: 1.4314,total_loss: 2.2781, acc_loss: 0.4831
Epoch: [142/1000], classify_loss: 0.8458, domain_loss_s: 0.7009, domain_loss_t: 0.7309, domain_loss: 1.4318,total_loss: 2.2776, acc_loss: 0.4848
