sub_0
Epoch: [79/1000], classify_loss: 0.0349, domain_loss_s: 0.6944, domain_loss_t: 0.6918, domain_loss: 1.3862,total_loss: 1.4211, accurance: 0.7645
Epoch: [80/1000], classify_loss: 0.0339, domain_loss_s: 0.6945, domain_loss_t: 0.6918, domain_loss: 1.3863,total_loss: 1.4202, accurance: 0.7677
Epoch: [81/1000], classify_loss: 0.0330, domain_loss_s: 0.6948, domain_loss_t: 0.6921, domain_loss: 1.3868,total_loss: 1.4199, accurance: 0.7742
Epoch: [82/1000], classify_loss: 0.0322, domain_loss_s: 0.6950, domain_loss_t: 0.6926, domain_loss: 1.3876,total_loss: 1.4199, accurance: 0.7872
Epoch: [83/1000], classify_loss: 0.0315, domain_loss_s: 0.6952, domain_loss_t: 0.6934, domain_loss: 1.3887,total_loss: 1.4201, accurance: 0.7931
Epoch: [84/1000], classify_loss: 0.0308, domain_loss_s: 0.6954, domain_loss_t: 0.6944, domain_loss: 1.3898,total_loss: 1.4205, accurance: 0.7869
Epoch: [85/1000], classify_loss: 0.0301, domain_loss_s: 0.6956, domain_loss_t: 0.6955, domain_loss: 1.3910,total_loss: 1.4211, accurance: 0.7951
Epoch: [86/1000], classify_loss: 0.0294, domain_loss_s: 0.6958, domain_loss_t: 0.6966, domain_loss: 1.3923,total_loss: 1.4217, accurance: 0.7939
Epoch: [87/1000], classify_loss: 0.0287, domain_loss_s: 0.6960, domain_loss_t: 0.6974, domain_loss: 1.3934,total_loss: 1.4222, accurance: 0.7913
Epoch: [88/1000], classify_loss: 0.0281, domain_loss_s: 0.6962, domain_loss_t: 0.6981, domain_loss: 1.3943,total_loss: 1.4225, accurance: 0.7942
Epoch: [89/1000], classify_loss: 0.0275, domain_loss_s: 0.6966, domain_loss_t: 0.6986, domain_loss: 1.3952,total_loss: 1.4227, accurance: 0.7942
Epoch: [90/1000], classify_loss: 0.0269, domain_loss_s: 0.6969, domain_loss_t: 0.6987, domain_loss: 1.3956,total_loss: 1.4225, accurance: 0.7925
Epoch: [91/1000], classify_loss: 0.0264, domain_loss_s: 0.6972, domain_loss_t: 0.6980, domain_loss: 1.3952,total_loss: 1.4216, accurance: 0.7925
Epoch: [92/1000], classify_loss: 0.0258, domain_loss_s: 0.6976, domain_loss_t: 0.6968, domain_loss: 1.3944,total_loss: 1.4202, accurance: 0.7901
Epoch: [93/1000], classify_loss: 0.0253, domain_loss_s: 0.6979, domain_loss_t: 0.6955, domain_loss: 1.3934,total_loss: 1.4188, accurance: 0.7898
Epoch: [94/1000], classify_loss: 0.0249, domain_loss_s: 0.6982, domain_loss_t: 0.6943, domain_loss: 1.3925,total_loss: 1.4174, accurance: 0.7892
Epoch: [95/1000], classify_loss: 0.0244, domain_loss_s: 0.6984, domain_loss_t: 0.6934, domain_loss: 1.3918,total_loss: 1.4162, accurance: 0.7892
Epoch: [96/1000], classify_loss: 0.0240, domain_loss_s: 0.6985, domain_loss_t: 0.6931, domain_loss: 1.3916,total_loss: 1.4156, accurance: 0.7886
Epoch: [97/1000], classify_loss: 0.0236, domain_loss_s: 0.6985, domain_loss_t: 0.6931, domain_loss: 1.3917,total_loss: 1.4153, accurance: 0.7886
Epoch: [98/1000], classify_loss: 0.0232, domain_loss_s: 0.6985, domain_loss_t: 0.6931, domain_loss: 1.3916,total_loss: 1.4148, accurance: 0.7901
Epoch: [99/1000], classify_loss: 0.0228, domain_loss_s: 0.6983, domain_loss_t: 0.6931, domain_loss: 1.3915,total_loss: 1.4143, accurance: 0.7916
Epoch: [100/1000], classify_loss: 0.0224, domain_loss_s: 0.6980, domain_loss_t: 0.6931, domain_loss: 1.3912,total_loss: 1.4136, accurance: 0.7933
Epoch: [101/1000], classify_loss: 0.0221, domain_loss_s: 0.6976, domain_loss_t: 0.6931, domain_loss: 1.3907,total_loss: 1.4128, accurance: 0.7969
Epoch: [102/1000], classify_loss: 0.0218, domain_loss_s: 0.6970, domain_loss_t: 0.6931, domain_loss: 1.3901,total_loss: 1.4119, accurance: 0.7978
Epoch: [103/1000], classify_loss: 0.0215, domain_loss_s: 0.6963, domain_loss_t: 0.6931, domain_loss: 1.3894,total_loss: 1.4109, accurance: 0.7995
Epoch: [104/1000], classify_loss: 0.0212, domain_loss_s: 0.6955, domain_loss_t: 0.6931, domain_loss: 1.3887,total_loss: 1.4099, accurance: 0.7989
Epoch: [105/1000], classify_loss: 0.0209, domain_loss_s: 0.6949, domain_loss_t: 0.6931, domain_loss: 1.3880,total_loss: 1.4090, accurance: 0.7989
Epoch: [106/1000], classify_loss: 0.0206, domain_loss_s: 0.6943, domain_loss_t: 0.6931, domain_loss: 1.3875,total_loss: 1.4081, accurance: 0.7992
Epoch: [107/1000], classify_loss: 0.0203, domain_loss_s: 0.6939, domain_loss_t: 0.6931, domain_loss: 1.3870,total_loss: 1.4074, accurance: 0.7989
Epoch: [108/1000], classify_loss: 0.0200, domain_loss_s: 0.6936, domain_loss_t: 0.6931, domain_loss: 1.3867,total_loss: 1.4068, accurance: 0.7972
Epoch: [109/1000], classify_loss: 0.0197, domain_loss_s: 0.6933, domain_loss_t: 0.6931, domain_loss: 1.3865,total_loss: 1.4062, accurance: 0.7978
Epoch: [110/1000], classify_loss: 0.0194, domain_loss_s: 0.6932, domain_loss_t: 0.6931, domain_loss: 1.3864,total_loss: 1.4057, accurance: 0.7978
Epoch: [111/1000], classify_loss: 0.0190, domain_loss_s: 0.6932, domain_loss_t: 0.6931, domain_loss: 1.3863,total_loss: 1.4054, accurance: 0.7984
Epoch: [112/1000], classify_loss: 0.0187, domain_loss_s: 0.6932, domain_loss_t: 0.6931, domain_loss: 1.3863,total_loss: 1.4050, accurance: 0.7978
Epoch: [113/1000], classify_loss: 0.0184, domain_loss_s: 0.6931, domain_loss_t: 0.6931, domain_loss: 1.3863,total_loss: 1.4047, accurance: 0.7957
Epoch: [114/1000], classify_loss: 0.0181, domain_loss_s: 0.6931, domain_loss_t: 0.6931, domain_loss: 1.3863,total_loss: 1.4044, accurance: 0.7939
Epoch: [115/1000], classify_loss: 0.0178, domain_loss_s: 0.6931, domain_loss_t: 0.6931, domain_loss: 1.3863,total_loss: 1.4041, accurance: 0.7931
Epoch: [116/1000], classify_loss: 0.0175, domain_loss_s: 0.6931, domain_loss_t: 0.6931, domain_loss: 1.3863,total_loss: 1.4038, accurance: 0.7913
Epoch: [117/1000], classify_loss: 0.0172, domain_loss_s: 0.6931, domain_loss_t: 0.6931, domain_loss: 1.3863,total_loss: 1.4035, accurance: 0.7901
Epoch: [118/1000], classify_loss: 0.0169, domain_loss_s: 0.6931, domain_loss_t: 0.6931, domain_loss: 1.3863,total_loss: 1.4032, accurance: 0.7892
Epoch: [119/1000], classify_loss: 0.0166, domain_loss_s: 0.6931, domain_loss_t: 0.6931, domain_loss: 1.3863,total_loss: 1.4029, accurance: 0.7886
Epoch: [120/1000], classify_loss: 0.0163, domain_loss_s: 0.6931, domain_loss_t: 0.6931, domain_loss: 1.3863,total_loss: 1.4026, accurance: 0.7875
Epoch: [121/1000], classify_loss: 0.0161, domain_loss_s: 0.6931, domain_loss_t: 0.6931, domain_loss: 1.3863,total_loss: 1.4024, accurance: 0.7869
Epoch: [122/1000], classify_loss: 0.0158, domain_loss_s: 0.6931, domain_loss_t: 0.6931, domain_loss: 1.3863,total_loss: 1.4021, accurance: 0.7863
Epoch: [123/1000], classify_loss: 0.0156, domain_loss_s: 0.6931, domain_loss_t: 0.6931, domain_loss: 1.3863,total_loss: 1.4019, accurance: 0.7866
Epoch: [124/1000], classify_loss: 0.0154, domain_loss_s: 0.6931, domain_loss_t: 0.6931, domain_loss: 1.3863,total_loss: 1.4017, accurance: 0.7866
Epoch: [125/1000], classify_loss: 0.0151, domain_loss_s: 0.6931, domain_loss_t: 0.6931, domain_loss: 1.3863,total_loss: 1.4014, accurance: 0.7872
Epoch: [126/1000], classify_loss: 0.0149, domain_loss_s: 0.6931, domain_loss_t: 0.6931, domain_loss: 1.3863,total_loss: 1.4012, accurance: 0.7875
Epoch: [127/1000], classify_loss: 0.0147, domain_loss_s: 0.6931, domain_loss_t: 0.6931, domain_loss: 1.3863,total_loss: 1.4010, accurance: 0.7883
Epoch: [128/1000], classify_loss: 0.0145, domain_loss_s: 0.6931, domain_loss_t: 0.6931, domain_loss: 1.3863,total_loss: 1.4008, accurance: 0.7895
Epoch: [129/1000], classify_loss: 0.0143, domain_loss_s: 0.6931, domain_loss_t: 0.6931, domain_loss: 1.3863,total_loss: 1.4006, accurance: 0.7907
Epoch: [130/1000], classify_loss: 0.0141, domain_loss_s: 0.6931, domain_loss_t: 0.6931, domain_loss: 1.3863,total_loss: 1.4004, accurance: 0.7910
Epoch: [131/1000], classify_loss: 0.0139, domain_loss_s: 0.6931, domain_loss_t: 0.6931, domain_loss: 1.3863,total_loss: 1.4002, accurance: 0.7913
Epoch: [132/1000], classify_loss: 0.0137, domain_loss_s: 0.6931, domain_loss_t: 0.6931, domain_loss: 1.3863,total_loss: 1.4000, accurance: 0.7913
Epoch: [133/1000], classify_loss: 0.0135, domain_loss_s: 0.6931, domain_loss_t: 0.6931, domain_loss: 1.3863,total_loss: 1.3998, accurance: 0.7933
Epoch: [134/1000], classify_loss: 0.0134, domain_loss_s: 0.6931, domain_loss_t: 0.6931, domain_loss: 1.3863,total_loss: 1.3996, accurance: 0.7933
